record_id,date (mm/dd/yyyy),plot_id,species_id,sex,hindfoot_length,weight
16964,1/7/1990,13,RM,M,17,11
16965,1/7/1990,2,DO,F,36,43
16966,1/7/1990,8,DO,F,36,45
16967,1/7/1990,3,AB,,NA,9999
16968,1/7/1990,4,DM,F,36,36
16969,1/7/1990,9,DM,F,37,40
16970,1/7/1990,8,DM,M,37,57
16971,1/7/1990,11,DM,M,38,50
16972,1/7/1990,9,DM,M,37,45
16973,1/7/1990,9,DM,F,36,35
16974,1/7/1990,15,RM,M,17,9
16975,1/7/1990,4,DM,F,38,44
16976,1/7/1990,9,DM,F,37,40
16977,1/7/1990,13,RM,F,17,11
16978,1/7/1990,4,DS,M,51,126
16979,1/7/1990,9,DM,M,37,45
16980,1/7/1990,10,RM,F,17,11
16981,1/7/1990,2,AB,,NA,9999
16982,1/7/1990,5,AB,,NA,9999
16983,1/7/1990,16,,,NA,9999
16984,1/29/1990,6,PF,M,16,7
16985,1/29/1990,20,RM,F,17,9
16986,1/29/1990,1,DM,F,37,37
16987,1/29/1990,6,AB,,NA,9999
16988,1/29/1990,19,PE,M,21,23
16989,1/29/1990,7,PE,M,21,21
16990,1/29/1990,12,SF,M,28,48
16991,1/29/1990,24,PE,M,22,24
16992,1/29/1990,6,AB,,NA,9999
16993,1/29/1990,20,AB,,NA,9999
16994,1/29/1990,1,DM,M,37,45
16995,1/29/1990,12,NL,F,31,197
16996,1/29/1990,20,RM,F,17,9
16997,1/29/1990,7,PE,F,21,23
16998,1/29/1990,21,SF,F,26,50
16999,1/29/1990,6,PF,M,17,7
17000,1/29/1990,18,AB,,NA,9999
17001,1/29/1990,7,RM,F,17,9
17002,1/29/1990,6,PF,F,16,9
17003,1/29/1990,24,RF,F,19,11
17004,1/29/1990,22,DM,M,37,52
17005,1/29/1990,21,RM,M,17,10
17006,1/29/1990,20,AB,,NA,9999
17007,1/29/1990,21,AB,,NA,9999
17008,1/29/1990,18,RM,M,17,10
17009,1/29/1990,23,RM,F,17,10
17010,1/29/1990,22,DM,F,38,43
17011,1/29/1990,12,RM,M,17,10
17012,1/29/1990,21,AB,,NA,9999
17013,1/29/1990,6,RM,F,17,9
17014,1/29/1990,18,RF,F,18,12
17015,1/29/1990,12,PG,,NA,9999
17016,1/29/1990,12,OT,M,22,22
17017,1/29/1990,21,SF,F,27,46
17018,1/29/1990,20,AB,,NA,9999
17019,1/29/1990,21,PG,,NA,9999
17020,1/29/1990,12,AH,,NA,9999
17021,1/29/1990,18,PE,F,22,19
17022,1/29/1990,12,AB,,NA,9999
17023,1/29/1990,19,PF,F,17,7
17024,1/29/1990,22,PH,F,28,33
17025,1/29/1990,6,PG,,NA,9999
17026,1/29/1990,20,AH,,NA,9999
17027,1/29/1990,21,PG,,NA,9999
17028,1/29/1990,19,AB,,NA,9999
17029,1/29/1990,17,RM,M,17,10
17030,1/29/1990,7,RM,F,17,9
17031,1/29/1990,22,OT,M,22,21
17032,1/29/1990,21,RM,M,17,8
17033,1/29/1990,17,DO,M,38,52
17034,1/29/1990,12,DO,M,37,55
17035,1/29/1990,7,RM,F,18,9
17036,1/29/1990,1,OL,F,22,24
17037,1/29/1990,23,AB,,NA,9999
17038,1/29/1990,19,RM,F,17,13
17039,1/29/1990,1,DM,M,38,46
17040,1/29/1990,6,AB,,NA,9999
17041,1/29/1990,23,AB,,NA,9999
17042,1/29/1990,18,RM,M,17,9
17043,1/29/1990,1,OL,M,22,35
17044,1/29/1990,7,PE,M,22,19
17045,1/29/1990,19,RM,F,19,11
17046,1/29/1990,6,PE,F,21,26
17047,1/29/1990,12,DO,F,37,50
17048,1/29/1990,23,AB,,NA,9999
17049,1/29/1990,22,AB,,NA,9999
17050,1/30/1990,13,AB,,NA,9999
17051,1/30/1990,13,RM,F,17,10
17052,1/30/1990,2,DO,F,35,30
17053,1/30/1990,3,PF,M,17,7
17054,1/30/1990,9,DO,M,36,51
17055,1/30/1990,8,DM,F,37,39
17056,1/30/1990,4,DM,F,36,46
17057,1/30/1990,9,DO,M,37,49
17058,1/30/1990,8,DM,M,37,48
17059,1/30/1990,3,RM,M,17,8
17060,1/30/1990,5,RM,F,17,9
17061,1/30/1990,11,DO,M,38,58
17062,1/30/1990,13,RM,M,17,10
17063,1/30/1990,11,DO,M,37,50
17064,1/30/1990,3,OT,F,21,22
17065,1/30/1990,14,DM,M,37,52
17066,1/30/1990,4,DM,M,36,48
17067,1/30/1990,10,RM,F,18,12
17068,1/30/1990,15,PE,F,22,23
17069,1/30/1990,16,AB,,NA,9999
17070,1/30/1990,2,DO,F,36,29
17071,1/30/1990,3,RM,F,17,10
17072,1/30/1990,4,DM,M,38,42
17073,1/30/1990,13,OT,F,22,21
17074,1/30/1990,4,DM,F,36,41
17075,1/30/1990,4,DM,M,37,38
17076,1/30/1990,2,DO,M,38,60
17077,1/30/1990,14,DM,F,36,48
17078,1/30/1990,9,DO,M,36,44
17079,1/30/1990,8,DM,F,35,35
17080,1/30/1990,14,RM,F,17,9
17081,1/30/1990,14,DO,M,40,54
17082,1/30/1990,11,DM,M,36,49
17083,1/30/1990,8,DM,F,37,47
17084,1/30/1990,4,DM,F,37,40
17085,1/30/1990,2,PE,F,22,20
17086,1/30/1990,9,DM,M,38,45
17087,1/30/1990,4,DM,F,37,38
17088,1/30/1990,15,RM,F,17,12
17089,1/30/1990,11,DO,F,36,41
17090,1/30/1990,10,RM,F,17,10
17091,1/30/1990,8,DM,M,37,50
17092,1/30/1990,15,AB,,NA,9999
17093,1/30/1990,11,DM,M,38,51
17094,1/30/1990,16,RM,M,17,9
17095,1/30/1990,14,DM,M,37,30
17096,1/30/1990,13,RM,M,17,10
17097,1/30/1990,3,RM,F,16,8
17098,1/30/1990,4,DM,M,38,40
17099,1/30/1990,9,DM,F,37,41
17100,1/30/1990,4,DM,F,38,41
17101,1/30/1990,9,DM,F,36,38
17102,1/30/1990,8,DM,,NA,9999
17103,1/30/1990,16,RM,F,17,9
17104,1/30/1990,5,RF,F,17,14
17105,1/30/1990,9,DM,M,37,47
17106,1/30/1990,16,AB,,NA,9999
17107,1/30/1990,4,DS,M,50,132
17108,1/30/1990,9,DM,F,37,46
17109,1/30/1990,4,DM,M,37,49
17110,1/30/1990,5,RM,M,18,10
17111,1/30/1990,10,RM,M,18,10
17112,1/30/1990,13,RF,F,18,13
17113,1/30/1990,11,DM,F,37,40
17114,1/30/1990,8,DM,F,37,36
17115,2/24/1990,1,DM,F,37,38
17116,2/24/1990,19,PF,F,15,7
17117,2/24/1990,21,RM,M,17,10
17118,2/24/1990,19,PE,M,21,21
17119,2/24/1990,7,RM,F,17,10
17120,2/24/1990,19,RM,F,16,9
17121,2/24/1990,1,DM,M,37,44
17122,2/24/1990,20,PC,,NA,9999
17123,2/24/1990,12,RM,F,16,10
17124,2/24/1990,18,PE,M,21,22
17125,2/24/1990,6,PF,M,15,7
17126,2/24/1990,12,DO,F,34,27
17127,2/24/1990,12,SF,F,26,81
17128,2/24/1990,12,DO,M,36,59
17129,2/24/1990,7,RM,M,17,11
17130,2/24/1990,6,PF,F,15,7
17131,2/24/1990,12,SF,M,26,48
17132,2/24/1990,20,RM,F,17,12
17133,2/24/1990,12,NL,F,33,194
17134,2/24/1990,6,RM,M,16,8
17135,2/24/1990,12,OT,M,21,24
17136,2/24/1990,23,RM,M,17,8
17137,2/24/1990,1,NL,F,31,152
17138,2/24/1990,12,PE,M,22,23
17139,2/24/1990,7,RM,F,17,12
17140,2/24/1990,6,PF,M,15,8
17141,2/24/1990,1,DO,M,39,39
17142,2/24/1990,12,RM,M,17,10
17143,2/24/1990,21,RM,F,17,10
17144,2/24/1990,1,DM,M,38,50
17145,2/24/1990,19,RM,F,17,13
17146,2/24/1990,1,NL,M,25,48
17147,2/24/1990,7,PE,M,22,26
17148,2/24/1990,19,OT,M,22,23
17149,2/24/1990,17,RM,M,17,9
17150,2/24/1990,17,DO,M,37,55
17151,2/24/1990,1,DO,M,36,43
17152,2/24/1990,12,OL,F,21,33
17153,2/24/1990,12,SF,M,25,36
17154,2/24/1990,18,PE,,NA,9999
17155,2/24/1990,22,PH,F,27,33
17156,2/24/1990,24,PE,F,22,17
17157,2/24/1990,1,OL,M,21,36
17158,2/24/1990,18,RM,F,17,15
17159,2/24/1990,17,DO,M,36,54
17160,2/24/1990,17,RM,M,17,10
17161,2/24/1990,12,DO,M,34,29
17162,2/24/1990,23,PC,,NA,9999
17163,2/24/1990,22,DM,M,37,53
17164,2/24/1990,17,NL,F,34,169
17165,2/24/1990,21,RM,M,16,8
17166,2/24/1990,23,RM,M,16,8
17167,2/24/1990,7,PE,F,21,28
17168,2/24/1990,7,PE,M,21,21
17169,2/24/1990,23,RM,M,17,9
17170,2/25/1990,3,SH,M,30,80
17171,2/25/1990,4,DM,M,37,43
17172,2/25/1990,3,SH,F,29,67
17173,2/25/1990,3,OT,F,21,23
17174,2/25/1990,5,BA,M,14,7
17175,2/25/1990,10,PC,,NA,9999
17176,2/25/1990,9,DO,F,36,49
17177,2/25/1990,13,OT,M,20,21
17178,2/25/1990,2,DO,F,36,36
17179,2/25/1990,3,PF,M,15,7
17180,2/25/1990,13,RM,M,16,10
17181,2/25/1990,10,PC,,NA,9999
17182,2/25/1990,14,RM,F,17,9
17183,2/25/1990,11,DO,F,36,48
17184,2/25/1990,3,OT,M,20,23
17185,2/25/1990,4,DM,F,35,40
17186,2/25/1990,11,OT,M,21,23
17187,2/25/1990,3,PE,M,21,21
17188,2/25/1990,4,DM,M,37,49
17189,2/25/1990,8,DM,F,37,41
17190,2/25/1990,5,BA,F,14,7
17191,2/25/1990,10,RF,F,18,14
17192,2/25/1990,11,DO,M,36,50
17193,2/25/1990,8,DM,M,37,50
17194,2/25/1990,15,RM,F,17,10
17195,2/25/1990,3,RM,F,17,14
17196,2/25/1990,15,RM,M,17,9
17197,2/25/1990,8,DM,F,36,38
17198,2/25/1990,13,PE,M,20,18
17199,2/25/1990,3,PC,,NA,9999
17200,2/25/1990,14,DM,M,36,54
17201,2/25/1990,14,DM,F,36,48
17202,2/25/1990,11,DM,M,37,47
17203,2/25/1990,4,DM,F,37,42
17204,2/25/1990,14,AH,,NA,9999
17205,2/25/1990,2,DO,M,37,62
17206,2/25/1990,11,DM,M,38,50
17207,2/25/1990,9,DM,M,36,47
17208,2/25/1990,8,DM,F,37,46
17209,2/25/1990,14,DO,M,36,55
17210,2/25/1990,4,DM,M,38,40
17211,2/25/1990,14,PC,,NA,9999
17212,2/25/1990,5,RM,F,17,12
17213,2/25/1990,9,DO,M,35,46
17214,2/25/1990,8,DO,F,35,42
17215,2/25/1990,4,DM,F,37,37
17216,2/25/1990,10,RM,M,17,6
17217,2/25/1990,11,DO,M,36,42
17218,2/25/1990,8,DO,F,36,52
17219,2/25/1990,15,PC,,NA,9999
17220,2/25/1990,14,DM,M,36,37
17221,2/25/1990,11,DM,F,37,39
17222,2/25/1990,9,DM,F,37,44
17223,2/25/1990,3,RM,F,16,8
17224,2/25/1990,4,DM,F,37,47
17225,2/25/1990,10,RM,M,17,10
17226,2/25/1990,9,DM,F,35,41
17227,2/25/1990,14,DM,M,38,43
17228,2/25/1990,4,DM,F,35,30
17229,2/25/1990,8,DM,F,35,40
17230,2/25/1990,2,NL,M,33,218
17231,2/25/1990,4,DS,M,50,132
17232,2/25/1990,16,RM,F,17,12
17233,2/25/1990,9,DM,M,36,46
17234,2/25/1990,4,DM,M,36,49
17235,2/25/1990,5,RM,M,17,11
17236,2/25/1990,9,DM,F,37,38
17237,2/25/1990,4,DM,M,37,49
17238,2/25/1990,3,RM,F,17,13
17239,2/25/1990,11,DM,M,38,54
17240,2/25/1990,4,DM,M,37,41
17241,2/25/1990,8,DM,F,36,29
17242,2/25/1990,5,RM,M,18,11
17243,2/25/1990,11,DM,F,35,46
17244,3/29/1990,20,OT,M,21,23
17245,3/29/1990,7,PE,F,19,23
17246,3/29/1990,6,PF,M,16,7
17247,3/29/1990,22,DM,M,32,21
17248,3/29/1990,19,PE,F,19,23
17249,3/29/1990,21,RM,M,16,8
17250,3/29/1990,7,RM,F,17,9
17251,3/29/1990,1,DM,F,35,39
17252,3/29/1990,24,RF,F,17,12
17253,3/29/1990,6,RM,F,15,11
17254,3/29/1990,12,RM,M,16,10
17255,3/29/1990,22,DM,F,39,39
17256,3/29/1990,24,RM,F,17,11
17257,3/29/1990,12,SF,M,28,52
17258,3/29/1990,19,PF,F,16,7
17259,3/29/1990,24,PE,F,21,19
17260,3/29/1990,12,SF,M,30,58
17261,3/29/1990,21,RM,F,17,11
17262,3/29/1990,19,PE,M,21,22
17263,3/29/1990,17,PE,F,20,21
17264,3/29/1990,1,DM,M,37,48
17265,3/29/1990,19,RM,F,18,12
17266,3/29/1990,12,RM,M,17,11
17267,3/29/1990,19,RM,M,17,9
17268,3/29/1990,1,DO,M,36,47
17269,3/29/1990,17,DO,F,36,44
17270,3/29/1990,1,DO,M,36,46
17271,3/29/1990,19,RM,F,16,9
17272,3/29/1990,22,PH,F,27,34
17273,3/29/1990,12,DM,,NA,9999
17274,3/29/1990,12,DO,M,35,35
17275,3/29/1990,18,NL,F,34,110
17276,3/29/1990,12,OT,F,20,24
17277,3/29/1990,17,DO,M,36,55
17278,3/29/1990,23,PE,M,19,24
17279,3/29/1990,20,PE,M,20,23
17280,3/29/1990,24,RM,M,17,9
17281,3/29/1990,17,NL,F,32,170
17282,3/29/1990,23,RM,F,16,8
17283,3/29/1990,20,OT,F,21,23
17284,3/29/1990,17,DO,M,37,56
17285,3/29/1990,7,RM,F,17,12
17286,3/29/1990,6,PF,F,15,7
17287,3/29/1990,17,RM,M,17,9
17288,3/29/1990,22,DS,M,51,134
17289,3/29/1990,7,PE,M,19,20
17290,3/29/1990,12,OT,M,21,23
17291,3/29/1990,12,RM,F,17,10
17292,3/29/1990,23,RM,F,16,12
17293,3/29/1990,18,RM,F,16,14
17294,3/29/1990,23,RM,F,16,10
17295,3/29/1990,7,PE,M,22,26
17296,3/29/1990,6,PE,M,21,25
17297,3/29/1990,7,PE,F,21,26
17298,3/30/1990,2,DM,F,37,46
17299,3/30/1990,11,OL,M,21,37
17300,3/30/1990,3,SH,M,30,82
17301,3/30/1990,14,DM,M,36,41
17302,3/30/1990,3,RM,F,17,10
17303,3/30/1990,4,DM,M,37,45
17304,3/30/1990,10,RF,F,18,14
17305,3/30/1990,4,DM,F,36,45
17306,3/30/1990,13,RM,M,16,10
17307,3/30/1990,10,RM,M,16,10
17308,3/30/1990,14,DM,M,34,43
17309,3/30/1990,9,DM,F,37,43
17310,3/30/1990,13,PE,M,20,19
17311,3/30/1990,3,PF,F,16,7
17312,3/30/1990,13,RF,F,18,15
17313,3/30/1990,11,DO,M,36,52
17314,3/30/1990,8,DM,F,37,46
17315,3/30/1990,4,DM,M,33,25
17316,3/30/1990,4,DM,M,35,25
17317,3/30/1990,15,NL,M,34,243
17318,3/30/1990,15,PF,M,15,7
17319,3/30/1990,8,DM,F,36,43
17320,3/30/1990,2,DM,M,37,50
17321,3/30/1990,8,RM,F,17,11
17322,3/30/1990,3,OT,F,20,24
17323,3/30/1990,2,DO,F,36,48
17324,3/30/1990,11,DO,M,37,45
17325,3/30/1990,16,RM,F,15,11
17326,3/30/1990,14,DM,F,36,43
17327,3/30/1990,2,SH,M,30,69
17328,3/30/1990,4,DM,F,36,44
17329,3/30/1990,11,PE,M,20,21
17330,3/30/1990,16,RM,M,15,8
17331,3/30/1990,2,DM,M,37,43
17332,3/30/1990,16,RM,M,17,9
17333,3/30/1990,14,OT,M,20,23
17334,3/30/1990,2,DO,M,36,54
17335,3/30/1990,5,RM,F,17,14
17336,3/30/1990,11,DO,M,37,9999
17337,3/30/1990,9,DM,M,37,47
17338,3/30/1990,11,DO,F,36,50
17339,3/30/1990,10,RM,F,17,10
17340,3/30/1990,16,RM,F,15,11
17341,3/30/1990,4,DM,M,37,48
17342,3/30/1990,11,RM,M,18,10
17343,3/30/1990,8,DO,F,37,43
17344,3/30/1990,3,RM,M,17,10
17345,3/30/1990,2,DO,M,36,58
17346,3/30/1990,3,PF,F,16,7
17347,3/30/1990,9,DM,M,36,48
17348,3/30/1990,11,DM,M,36,52
17349,3/30/1990,3,PE,M,20,17
17350,3/30/1990,4,DM,F,32,24
17351,3/30/1990,4,DM,M,37,41
17352,3/30/1990,8,DO,M,36,46
17353,3/30/1990,4,DS,M,50,126
17354,3/30/1990,11,DM,M,37,52
17355,3/30/1990,8,DO,F,35,50
17356,3/30/1990,15,AB,,NA,9999
17357,3/30/1990,11,DM,F,36,44
17358,3/30/1990,8,DM,F,37,56
17359,3/30/1990,3,SH,F,31,77
17360,3/30/1990,4,DM,F,37,43
17361,3/30/1990,9,DM,M,37,48
17362,3/30/1990,9,DO,F,36,53
17363,3/30/1990,5,DM,F,35,44
17364,3/30/1990,8,DM,M,36,51
17365,3/30/1990,4,DM,F,38,48
17366,3/30/1990,11,DM,M,37,46
17367,3/30/1990,4,DM,M,37,44
17368,3/30/1990,11,DM,F,35,41
17369,3/30/1990,8,DM,F,36,39
17370,4/24/1990,19,RM,M,17,10
17371,4/24/1990,19,RM,F,17,10
17372,4/24/1990,18,PE,F,21,24
17373,4/24/1990,18,AH,,NA,9999
17374,4/24/1990,1,BA,M,14,7
17375,4/24/1990,18,OT,M,21,26
17376,4/24/1990,19,PF,F,16,7
17377,4/24/1990,23,RM,F,17,8
17378,4/24/1990,24,RF,F,19,11
17379,4/24/1990,1,DM,M,36,38
17380,4/24/1990,22,DM,M,37,49
17381,4/24/1990,19,RM,F,18,12
17382,4/24/1990,12,NL,M,33,122
17383,4/24/1990,1,SS,,NA,9999
17384,4/24/1990,19,RM,M,17,9
17385,4/24/1990,24,RM,M,17,9
17386,4/24/1990,1,DO,M,36,45
17387,4/24/1990,1,DO,M,36,48
17388,4/24/1990,1,DM,M,37,46
17389,4/24/1990,7,RM,M,18,10
17390,4/24/1990,22,DM,F,37,43
17391,4/24/1990,7,RM,F,17,11
17392,4/24/1990,12,DO,M,36,43
17393,4/24/1990,19,PE,M,21,20
17394,4/24/1990,23,RM,F,16,9
17395,4/24/1990,12,OL,F,21,31
17396,4/24/1990,19,PE,M,22,24
17397,4/24/1990,23,PE,M,22,24
17398,4/24/1990,18,PF,M,16,7
17399,4/24/1990,22,PH,F,27,34
17400,4/24/1990,18,RM,F,16,8
17401,4/24/1990,19,RM,M,17,9
17402,4/24/1990,1,DM,M,37,45
17403,4/24/1990,23,PE,F,22,27
17404,4/24/1990,7,RM,M,15,8
17405,4/24/1990,12,OT,F,21,27
17406,4/24/1990,18,PP,F,22,18
17407,4/24/1990,12,OT,M,21,25
17408,4/24/1990,19,PE,F,22,21
17409,4/24/1990,23,RF,M,18,12
17410,4/25/1990,20,PE,F,19,11
17411,4/25/1990,17,DO,F,36,48
17412,4/25/1990,16,RM,M,17,9
17413,4/25/1990,20,OL,F,21,30
17414,4/25/1990,17,DM,F,37,48
17415,4/25/1990,2,DO,F,36,45
17416,4/25/1990,15,AH,,NA,9999
17417,4/25/1990,20,PE,F,19,11
17418,4/25/1990,2,DO,M,36,58
17419,4/25/1990,17,DO,,NA,9999
17420,4/25/1990,2,RM,M,17,8
17421,4/25/1990,15,RM,M,17,8
17422,4/25/1990,17,DO,F,36,44
17423,4/25/1990,17,NL,F,34,158
17424,4/25/1990,17,DO,M,36,54
17425,4/25/1990,20,OT,M,20,27
17426,4/25/1990,21,,,NA,9999
17427,4/26/1990,4,DM,M,37,43
17428,4/26/1990,11,DO,M,36,54
17429,4/26/1990,9,SS,,NA,9999
17430,4/26/1990,3,SH,F,31,85
17431,4/26/1990,14,DM,F,37,40
17432,4/26/1990,3,OT,M,21,26
17433,4/26/1990,6,PP,M,22,18
17434,4/26/1990,6,PP,F,21,17
17435,4/26/1990,6,OL,F,20,10
17436,4/26/1990,11,SF,M,21,47
17437,4/26/1990,11,SF,M,21,54
17438,4/26/1990,5,SS,,NA,9999
17439,4/26/1990,3,PP,F,22,18
17440,4/26/1990,4,DM,F,37,39
17441,4/26/1990,8,DM,F,37,39
17442,4/26/1990,8,DM,F,37,40
17443,4/26/1990,4,DM,F,36,53
17444,4/26/1990,6,PC,,NA,9999
17445,4/26/1990,9,DM,F,37,43
17446,4/26/1990,14,DM,,NA,9999
17447,4/26/1990,3,RM,F,17,13
17448,4/26/1990,9,DM,F,37,23
17449,4/26/1990,4,DM,M,37,41
17450,4/26/1990,8,DM,M,35,18
17451,4/26/1990,14,DM,M,35,24
17452,4/26/1990,3,PF,M,16,7
17453,4/26/1990,4,DM,M,37,47
17454,4/26/1990,4,DM,M,37,34
17455,4/26/1990,11,DM,M,36,50
17456,4/26/1990,11,DO,F,36,45
17457,4/26/1990,4,DM,M,37,44
17458,4/26/1990,9,DM,M,37,48
17459,4/26/1990,8,DM,M,38,50
17460,4/26/1990,14,DM,F,37,44
17461,4/26/1990,11,DO,M,37,56
17462,4/26/1990,9,DM,M,37,49
17463,4/26/1990,3,RM,F,16,8
17464,4/26/1990,3,RM,F,18,12
17465,4/26/1990,6,PF,M,16,7
17466,4/26/1990,4,DS,M,50,125
17467,4/26/1990,6,RM,M,17,9
17468,4/26/1990,8,DM,F,37,49
17469,4/26/1990,3,RM,F,16,8
17470,4/26/1990,14,DM,M,35,26
17471,4/26/1990,11,DM,M,37,50
17472,4/26/1990,10,RM,M,17,10
17473,4/26/1990,9,DM,F,37,40
17474,4/26/1990,11,DM,F,37,43
17475,4/26/1990,8,DO,F,34,28
17476,4/26/1990,4,DM,F,37,47
17477,4/26/1990,9,DM,M,38,49
17478,4/26/1990,8,DO,F,37,54
17479,4/26/1990,14,DO,M,37,52
17480,4/26/1990,3,RM,M,18,10
17481,4/26/1990,11,DM,M,37,50
17482,4/26/1990,4,DM,F,37,46
17483,4/26/1990,11,DM,F,37,53
17484,4/26/1990,9,DM,M,36,28
17485,4/26/1990,6,RM,F,17,10
17486,4/26/1990,3,BA,M,14,7
17487,4/26/1990,13,,,NA,9999
17488,5/23/1990,18,AH,,NA,9999
17489,5/23/1990,1,DM,M,36,40
17490,5/23/1990,7,RM,F,16,9
17491,5/23/1990,12,DM,F,37,43
17492,5/23/1990,1,DM,F,36,48
17493,5/23/1990,19,PF,F,14,6
17494,5/23/1990,18,PE,M,21,22
17495,5/23/1990,19,SF,M,27,68
17496,5/23/1990,12,DM,M,37,48
17497,5/23/1990,12,OT,F,21,24
17498,5/23/1990,18,RM,F,15,9
17499,5/23/1990,1,DO,M,35,51
17500,5/23/1990,19,PE,M,21,21
17501,5/23/1990,7,RM,M,17,12
17502,5/23/1990,19,RM,F,18,14
17503,5/23/1990,18,NL,F,32,143
17504,5/23/1990,19,PE,F,20,21
17505,5/23/1990,22,PH,F,26,34
17506,5/23/1990,12,DO,M,36,48
17507,5/23/1990,22,DM,M,36,50
17508,5/23/1990,19,PF,F,15,7
17509,5/23/1990,23,PE,M,20,20
17510,5/23/1990,19,RM,F,17,11
17511,5/23/1990,1,DO,M,36,48
17512,5/23/1990,16,,,NA,9999
17513,5/24/1990,20,AH,,NA,9999
17514,5/24/1990,21,SF,F,26,51
17515,5/24/1990,11,DO,M,36,51
17516,5/24/1990,8,DM,M,36,32
17517,5/24/1990,9,DM,F,35,45
17518,5/24/1990,2,DO,F,36,49
17519,5/24/1990,11,DO,F,36,47
17520,5/24/1990,20,OT,F,21,27
17521,5/24/1990,8,DM,F,35,42
17522,5/24/1990,8,DM,M,36,50
17523,5/24/1990,10,RM,F,17,10
17524,5/24/1990,8,DM,F,36,42
17525,5/24/1990,9,DM,F,35,30
17526,5/24/1990,9,DM,M,36,47
17527,5/24/1990,2,DO,M,37,58
17528,5/24/1990,11,DM,M,36,50
17529,5/24/1990,8,DM,M,35,30
17530,5/24/1990,11,DM,M,36,49
17531,5/24/1990,20,NL,F,30,86
17532,5/24/1990,17,AH,,NA,9999
17533,5/24/1990,17,AH,,NA,9999
17534,5/24/1990,8,DM,F,36,45
17535,5/24/1990,17,AH,,NA,9999
17536,5/24/1990,21,RM,F,14,8
17537,5/24/1990,8,DO,F,35,49
17538,5/24/1990,10,RM,M,17,10
